id_account,sent_month,sent_msg_percent_from_this_month,first_sent_date,last_sent_date
656912,2021-02-01,0.0016039006864694938,2021-02-18,2021-02-18
656921,2021-02-01,0.0016039006864694938,2021-02-19,2021-02-19
657027,2021-02-01,0.00801950343234747,2021-02-18,2021-02-18
657033,2021-02-01,0.011227304805286456,2021-02-18,2021-02-18
657035,2021-02-01,0.0048117020594084818,2021-02-09,2021-02-09
657068,2021-02-01,0.0064156027458779751,2021-02-09,2021-02-09
657076,2021-02-01,0.0064156027458779751,2021-02-07,2021-02-07
657081,2021-02-01,0.0048117020594084818,2021-02-13,2021-02-13
657090,2021-02-01,0.0048117020594084818,2021-02-05,2021-02-05
657107,2021-02-01,0.00801950343234747,2021-02-12,2021-02-12
657126,2021-02-01,0.00801950343234747,2021-02-18,2021-02-18
657160,2021-02-01,0.011227304805286456,2021-02-19,2021-02-20
657197,2021-02-01,0.0048117020594084818,2021-02-05,2021-02-05
657205,2021-02-01,0.00801950343234747,2021-02-06,2021-02-06
657263,2021-02-01,0.0096234041188169635,2021-02-02,2021-02-03
657293,2021-02-01,0.0048117020594084818,2021-02-23,2021-02-24
657306,2021-02-01,0.014435106178225444,2021-02-19,2021-02-20
657317,2021-02-01,0.01283120549175595,2021-02-04,2021-02-05
657340,2021-02-01,0.014435106178225444,2021-02-12,2021-02-13
657344,2021-02-01,0.011227304805286456,2021-02-17,2021-02-18
657384,2021-02-01,0.0064156027458779751,2021-02-12,2021-02-12
657407,2021-02-01,0.016039006864694939,2021-02-02,2021-02-03
657427,2021-02-01,0.011227304805286456,2021-02-01,2021-02-01
657428,2021-02-01,0.020850708924103418,2021-02-04,2021-02-05
657443,2021-02-01,0.0096234041188169635,2021-02-10,2021-02-11
657469,2021-02-01,0.01283120549175595,2021-02-08,2021-02-09
657494,2021-02-01,0.017642907551164433,2021-02-08,2021-02-09
657504,2021-02-01,0.01283120549175595,2021-02-17,2021-02-18
657523,2021-02-01,0.01283120549175595,2021-02-24,2021-02-25
657572,2021-02-01,0.017642907551164433,2021-02-22,2021-02-23
657580,2021-02-01,0.022454609610572912,2021-02-14,2021-02-15
657626,2021-02-01,0.011227304805286456,2021-02-08,2021-02-09
657644,2021-02-01,0.0096234041188169635,2021-02-08,2021-02-09
657647,2021-02-01,0.0048117020594084818,2021-02-01,2021-02-01
657668,2021-02-01,0.0096234041188169635,2021-02-03,2021-02-04
657670,2021-02-01,0.020850708924103418,2021-02-06,2021-02-07
657727,2021-02-01,0.0048117020594084818,2021-02-01,2021-02-01
657731,2021-02-01,0.020850708924103418,2021-02-05,2021-02-07
657769,2021-02-01,0.011227304805286456,2021-02-16,2021-02-18
657792,2021-02-01,0.0256624109835119,2021-02-03,2021-02-05
657799,2021-02-01,0.011227304805286456,2021-02-21,2021-02-23
657815,2021-02-01,0.014435106178225444,2021-02-22,2021-02-24
657822,2021-02-01,0.024058510297042406,2021-02-22,2021-02-24
657842,2021-02-01,0.011227304805286456,2021-02-04,2021-02-05
657866,2021-02-01,0.01283120549175595,2021-02-22,2021-02-24
657903,2021-02-01,0.019246808237633927,2021-02-16,2021-02-18
657929,2021-02-01,0.033681914415859368,2021-02-10,2021-02-12
657939,2021-02-01,0.017642907551164433,2021-02-08,2021-02-09
657943,2021-02-01,0.016039006864694939,2021-02-02,2021-02-04
657970,2021-02-01,0.019246808237633927,2021-02-20,2021-02-22
657986,2021-02-01,0.019246808237633927,2021-02-10,2021-02-12
658001,2021-02-01,0.019246808237633927,2021-02-22,2021-02-24
658010,2021-02-01,0.014435106178225444,2021-02-19,2021-02-21
658020,2021-02-01,0.032078013729389877,2021-02-14,2021-02-17
658043,2021-02-01,0.014435106178225444,2021-02-05,2021-02-07
658065,2021-02-01,0.028870212356450889,2021-02-20,2021-02-22
658066,2021-02-01,0.00801950343234747,2021-02-22,2021-02-23
658112,2021-02-01,0.024058510297042406,2021-02-18,2021-02-20
658142,2021-02-01,0.014435106178225444,2021-02-09,2021-02-11
658175,2021-02-01,0.033681914415859368,2021-02-06,2021-02-08
658179,2021-02-01,0.014435106178225444,2021-02-16,2021-02-18
658192,2021-02-01,0.033681914415859368,2021-02-12,2021-02-14
658207,2021-02-01,0.014435106178225444,2021-02-22,2021-02-24
658232,2021-02-01,0.035285815102328866,2021-02-08,2021-02-11
658268,2021-02-01,0.020850708924103418,2021-02-09,2021-02-12
658296,2021-02-01,0.017642907551164433,2021-02-10,2021-02-13
658311,2021-02-01,0.024058510297042406,2021-02-01,2021-02-03
658318,2021-02-01,0.01283120549175595,2021-02-01,2021-02-02
658333,2021-02-01,0.036889715788798356,2021-02-18,2021-02-21
658334,2021-02-01,0.016039006864694939,2021-02-11,2021-02-14
658368,2021-02-01,0.019246808237633927,2021-02-10,2021-02-13
658393,2021-02-01,0.017642907551164433,2021-02-11,2021-02-14
658425,2021-02-01,0.017642907551164433,2021-02-15,2021-02-18
658440,2021-02-01,0.01283120549175595,2021-02-05,2021-02-08
658458,2021-02-01,0.044909219221145824,2021-02-17,2021-02-20
658459,2021-02-01,0.022454609610572912,2021-02-01,2021-02-02
658467,2021-02-01,0.01283120549175595,2021-02-21,2021-02-21
658506,2021-02-01,0.044909219221145824,2021-02-22,2021-02-25
658535,2021-02-01,0.014435106178225444,2021-02-01,2021-02-03
658537,2021-02-01,0.01283120549175595,2021-02-17,2021-02-20
658627,2021-02-01,0.044909219221145824,2021-02-05,2021-02-08
658641,2021-02-01,0.038493616475267854,2021-02-04,2021-02-07
658677,2021-02-01,0.038493616475267854,2021-02-18,2021-02-21
658703,2021-02-01,0.046513119907615322,2021-02-09,2021-02-13
658724,2021-02-01,0.0048117020594084818,2021-02-06,2021-02-07
658742,2021-02-01,0.0032078013729389876,2021-02-01,2021-02-01
658764,2021-02-01,0.020850708924103418,2021-02-14,2021-02-18
658783,2021-02-01,0.019246808237633927,2021-02-01,2021-02-04
658818,2021-02-01,0.046513119907615322,2021-02-19,2021-02-23
658831,2021-02-01,0.046513119907615322,2021-02-08,2021-02-12
658850,2021-02-01,0.01283120549175595,2021-02-13,2021-02-14
658877,2021-02-01,0.05613652402643228,2021-02-07,2021-02-11
658918,2021-02-01,0.033681914415859368,2021-02-16,2021-02-18
658944,2021-02-01,0.030474113042920383,2021-02-16,2021-02-20
658948,2021-02-01,0.0256624109835119,2021-02-14,2021-02-18
