continent,revenue,revenue_from_mobile,revenue_from_desktop,revenue_persent_from_total,account_count,verified_account,ssession_count
(not set),74067.4,22354.0,51643.4,0.23166527883127347,53,38,795
Africa,331230.99999999994,130677.79999999999,193643.2,1.0360120913190087,266,193,3620
Americas,17665280.0,6780364.3000000054,10497307.400000006,55.252810505465554,15520,11152,193179
Asia,7601298.3000000054,3028054.399999999,4381094.3999999985,23.775060149933527,6664,4772,83113
Europe,5934624.2000000011,2311532.8000000003,3493992.8999999994,18.562098440769134,5170,3686,65135
Oceania,365230.19999999995,111242.5,246357.7,1.1423535336815087,272,195,3703
